event_ns,lane,note_id,stage,judgment,delay_ns
1081181173,2,0,calibration,perfect,555381
1120398112,5,1,calibration,perfect,885624
1140180572,6,2,calibration,perfect,1342128
1214186025,0,3,calibration,perfect,460156
1395187392,7,4,calibration,perfect,936119
1552179724,2,5,calibration,perfect,1285891
1556182214,0,6,calibration,perfect,453548
1635180966,1,7,calibration,perfect,1039641
1651182665,3,8,calibration,perfect,686458
1683180455,4,9,calibration,perfect,582268
1758205081,6,10,calibration,perfect,559096
1811181021,5,11,calibration,perfect,1032897
1846181862,2,12,calibration,perfect,641389
1865179264,0,13,calibration,perfect,585214
1881180085,7,14,calibration,perfect,555691
1914271610,5,15,calibration,perfect,127471
1935181912,3,16,calibration,perfect,724951
1996185141,0,17,calibration,perfect,952323
2245305231,0,18,calibration,perfect,889427
2253305950,2,19,calibration,perfect,742057
2329372553,3,20,calibration,perfect,391616
2344303936,7,21,calibration,perfect,654812
2392317552,1,22,calibration,perfect,1196404
2556675077,0,23,calibration,perfect,1126511
2600678158,2,24,calibration,perfect,1099700
2644316881,7,25,calibration,perfect,1149474
2658670707,0,26,calibration,perfect,717908
2726675052,3,27,calibration,perfect,458044
2751669810,7,28,calibration,perfect,830978
2757679321,6,29,calibration,perfect,400102
2864838355,7,30,calibration,perfect,573066
2980998859,7,31,calibration,perfect,372673
3114098555,4,32,calibration,perfect,1646954
3302693954,5,33,calibration,perfect,633542
3329693693,4,34,calibration,perfect,342217
3339696958,0,35,calibration,perfect,654993
3431699900,5,36,calibration,perfect,1094950
3451695790,6,37,calibration,perfect,977758
3483742476,2,38,calibration,perfect,979281
3617692900,3,39,calibration,perfect,935924
3639702073,6,40,calibration,perfect,619293
3752694968,7,41,calibration,perfect,939646
3832809278,1,42,calibration,perfect,389603
3837693640,3,43,calibration,perfect,973223
3888831781,6,44,calibration,perfect,403226
3899695743,2,45,calibration,perfect,404893
3911715697,7,46,calibration,perfect,625361
4029718090,6,47,calibration,perfect,880358
4191718073,7,48,calibration,perfect,1129358
4214693389,2,49,calibration,perfect,311326
4275846684,6,50,calibration,perfect,1001437
4316698371,1,51,calibration,perfect,437681
4324709540,7,52,calibration,perfect,845348
