event_ns,lane,note_id,stage,judgment,delay_ns
23894730637,1,139,scored,perfect,-104945
24177708050,1,140,scored,perfect,171508
24182709661,0,141,scored,perfect,283675
24244708591,0,142,scored,perfect,-221886
24372707814,1,143,scored,perfect,-442663
24407709324,0,144,scored,perfect,-236494
24816709309,1,145,scored,perfect,208756
24896709968,1,146,scored,perfect,-117945
24911708389,0,147,scored,perfect,102284
25014709139,1,148,scored,perfect,24452
25017709526,0,149,scored,perfect,-509629
25055709538,1,150,scored,perfect,-812249
25558709003,1,151,scored,perfect,-589300
25585707743,0,152,scored,perfect,-554856
25622708016,1,153,scored,perfect,-701555
25692711949,1,154,scored,perfect,-294008
25902708099,0,155,scored,perfect,-669889
25987713704,1,156,scored,perfect,154123
26235708455,1,157,scored,perfect,318082
26290708777,0,158,scored,perfect,-340036
26405709007,0,159,scored,perfect,-233263
26430708222,1,160,scored,perfect,-264218
26593708350,0,161,scored,perfect,403160
26731709066,1,162,scored,perfect,-375336
26847708414,1,163,scored,perfect,-631602
27009711372,1,164,scored,perfect,-112155
27131709033,0,165,scored,perfect,-108134
27372707679,1,166,scored,perfect,-557033
27578708346,0,167,scored,perfect,-292282
27590709297,1,168,scored,perfect,361608
27677709205,0,169,scored,perfect,-582941
27765708688,0,170,scored,perfect,248478
27991711953,1,171,scored,perfect,45225
28203708163,1,172,scored,perfect,-285430
28238708265,0,173,scored,perfect,-543797
28253708051,1,174,scored,perfect,22271
28287708367,0,175,scored,perfect,-582419
28345709863,1,176,scored,perfect,64370
28452713355,0,177,scored,perfect,127714
28880708926,1,178,scored,perfect,-659381
29296710059,1,179,scored,perfect,-519724
29334709785,0,180,scored,perfect,116492
29363707579,1,181,scored,perfect,35054
29560707920,0,182,scored,perfect,-106139
29575708042,1,183,scored,perfect,-244654
29708708368,1,184,scored,perfect,185657
29923707947,0,185,scored,perfect,-42088
30110715724,0,186,scored,perfect,232039
30316708630,1,187,scored,perfect,113895
30441708067,0,188,scored,perfect,72857
30466749634,1,189,scored,perfect,-53032
30565708043,1,190,scored,perfect,-171614
30658710421,0,191,scored,perfect,171140
30749707806,0,192,scored,perfect,-379065
30816708361,0,193,scored,perfect,-227433
30823707929,1,194,scored,perfect,279500
30948708513,1,195,scored,perfect,443841
31118710069,1,196,scored,perfect,-458478
31280727924,1,197,scored,perfect,-233778
31353729259,0,198,scored,perfect,213581
31676708851,1,199,scored,perfect,150899
31689715807,0,200,scored,perfect,-55803
31721710265,1,201,scored,perfect,-86948
31735717436,0,202,scored,perfect,-526635
32169710446,0,203,scored,perfect,-576440
32396710427,0,204,scored,perfect,-434167
32491729040,0,205,scored,perfect,149737
32552708768,0,206,scored,perfect,-620995
32715707898,1,207,scored,perfect,373178
33007708335,1,208,scored,perfect,13417
33897707710,1,209,scored,perfect,-7766
33906709267,0,210,scored,perfect,20248
34409710631,1,211,scored,perfect,-465890
34602709057,0,212,scored,perfect,-417518
35126707724,0,213,scored,perfect,188769
35152709007,1,214,scored,perfect,-281961
35278710874,0,215,scored,perfect,-67240
35646709675,1,216,scored,perfect,-309476
36278648818,1,217,scored,perfect,-505492
36614648923,0,218,scored,perfect,-32682
37051656508,0,219,scored,perfect,-420655
37145648685,0,220,scored,perfect,-124581
37490649168,0,221,scored,perfect,-190043
37490649946,1,222,scored,perfect,-619609
37593618734,1,223,scored,perfect,267980
37691650120,0,224,scored,perfect,-440796
37762617916,1,225,scored,perfect,-658343
38032617868,1,226,scored,perfect,-478460
38098624675,1,227,scored,perfect,157633
38216509670,0,228,scored,perfect,-131715
38227514927,1,229,scored,perfect,82224
38351539724,0,230,scored,perfect,-188103
38542517036,0,231,scored,perfect,-149382
38575515110,1,232,scored,perfect,-233612
38787509627,0,233,scored,perfect,-562978
39151642367,0,234,scored,perfect,-109698
39211551713,1,235,scored,perfect,243055
39222519862,0,236,scored,perfect,-497534
39315548799,0,237,scored,perfect,-554803
39375518575,0,238,scored,perfect,-545225
39521511850,0,239,scored,perfect,-43930
39662510155,0,240,scored,perfect,-163836
39749562583,1,241,scored,perfect,-225297
40009553823,1,242,scored,perfect,145985
40535510641,1,243,scored,perfect,-370748
40578509033,1,244,scored,perfect,-197824
40644513797,1,245,scored,perfect,148522
40819510293,0,246,scored,perfect,307231
40836513061,1,247,scored,perfect,-30546
41682515425,0,248,scored,perfect,43458
41687507454,1,249,scored,perfect,-316487
